Magical Recipe Name,Magical Effect,Magical Ingredients,Required Spells,Cooking Steps,Special Notes
Bundimum Pomade Surprise,Hair care,"[""1 lb. backfin crabmeat"", ""1 egg"", ""2 tsp. prepared mustard"", ""3 to 4 Tbsp. mayonnaise"", ""1 slice bread, crumbled"", ""1/2 tsp. salt"", ""1/2 tsp. paprika""], Bundimum Pomade",Reducio,"[""Combine and mix all ingredients thoroughly."", ""Chill for 2 hours."", ""Shape into cakes."", ""Melt 3 tablespoons of butter in a skillet over a quick fire."", ""Brown the cakes on both sides. Yield: 6 cakes.""]",Handle Bundimum Pomade with care due to its hair care.
Malevolent Mixture Surprise,Poison or other foul effects (most likely),"[""3 lb. pork country-style ribs"", ""3/4 c. chili sauce"", ""1/2 c. grape jelly"", ""1 Tbsp. dry red wine (optional)"", ""1 tsp. Dijon mustard""], Malevolent Mixture",Imperio,"[""Cut pork ribs into serving pieces."", ""Arrange, meaty side up, in ungreased pan, 13 x 9 x 2-inch."", ""Cover and bake in 325\u00b0 oven until tender, about 2 hours; drain."", ""Heat remaining ingredients, stirring occasionally, until jelly is dissolved."", ""Pour over pork.""]",Handle Malevolent Mixture with care due to its poison or other foul effects (most likely).
Edurus Potion Surprise,Gave the drinker rocky skin,"[""1 1/2 c. powdered sugar"", ""1/2 c. plus 2 Tbsp. unsalted butter"", ""2 extra large eggs"", ""2 Tbsp. white creme de menthe"", ""4 oz. semi-sweet chocolate sq., melted""], Edurus Potion",Langlock,"[""Pour into unbaked pie shell."", ""Bake under a charm at 350\u00b0 for 45 minutes.""]",Handle Edurus Potion with care due to its gave the drinker rocky skin.
Dr Ubbly's Oblivious Unction Surprise,Healed wounds left by negative thoughts,"[""1 1/2 lb. lean ground beef"", ""1/2 c. saltine cracker crumbs"", ""2 beaten eggs"", ""8 oz. can tomato sauce or 1 c. catsup"", ""1/4 c. chopped onions"", ""2 Tbsp. green pepper (optional)"", ""1 tsp. salt"", ""1/2 tsp. black pepper"", ""1 dash marjoram"", ""1 dash thyme""], Dr Ubbly's Oblivious Unction",Disapparate,"[""Combine all ingredients in large mixing bowl, mix well together. Shape into greased loaf pan and bake.""]",Handle Dr Ubbly's Oblivious Unction with care due to its healed wounds left by negative thoughts.
Calming Draught Surprise,Calms the drinker,"[""1 envelope plain gelatin"", ""2 Tbsp. cold water"", ""3/4 c. boiling water"", ""6 level Tbsp. peanut butter"", ""1 c. fresh nonfat milk"", ""1/2 c. plain low-fat yogurt"", ""1 (4 servings) box sugar-free instant pudding mix (vanilla or butterscotch)"", ""3 Tbsp. chopped de-fatted dry roasted peanuts""], Calming Draught",Expelliarmus,"[""Sprinkle gelatin on cold water in blender or food processor, using steel blade."", ""Wait one minute, then add boiling water. Cover and process until gelatin granules dissolve."", ""Add peanut butter."", ""Process until blended."", ""Add milk, yogurt and pudding mix. Process until smooth."", ""Wait 5 minutes for mixture to thicken, then put into dessert cups or into pie shell."", ""Chill until set. Sprinkle with peanuts, if desired.""]",Handle Calming Draught with care due to its calms the drinker.
Healing Potion Surprise,"Healing, replenishes lost health and stamina to the drinker","[""3 c. Homemade Baking Mix (see recipe)"", ""2/3 c. water""], Healing Potion",Tarantallegra,"[""With fork, stir together the baking mix and water to form a soft dough."", ""Turn out dough onto floured surface; knead 10 times. Roll out dough to 3/4-inch thickness."", ""Cut with 2-inch round cutter."", ""Place 1 inch apart on ungreased baking sheet."", ""Bake under a charm in a 400\u00b0 oven for 12 to 14 minutes or until golden brown."", ""Makes 12 biscuits.""]","Handle Healing Potion with care due to its healing, replenishes lost health and stamina to the drinker."
Cupid Crystals Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""3/4 c. sugar"", ""1/2 c. Hershey's cocoa"", ""1 can (5 oz.) evaporated milk"", ""1/3 c. light corn syrup"", ""1/3 c. butter"", ""1 tsp. vanilla""], Cupid Crystals",Finite Incantatem,"[""Combine sugar and cocoa in small saucepan; blend in evaporated milk and corn syrup."", ""Enchant with Finite Incantatem, then cook over medium heat, stirring constantly, until mixture boils."", ""Boil and stir one minute."", ""Remove from heat; stir in butter and vanilla."", ""Serve warm.""]",Handle Cupid Crystals with care due to its causes the drinker to become infatuated with the giver of the potion.
Fake protective potions Surprise,Supposedly protect the drinker from the effects of dark magic (likely useless),"[""2 1/2 lb. chicken, cut up"", ""1 tsp. salt"", ""1 tsp. pepper"", ""2 c. all-purpose flour"", ""1/2 c. milk"", ""1/2 c. water"", ""1 1/2 c. milk""], Fake protective potions",Impedimenta,"[""Cover chicken with"", ""water."", ""Salt and pepper."", ""Boil over medium heat for 30 minutes."", ""Remove from broth.""]",Handle Fake protective potions with care due to its supposedly protect the drinker from the effects of dark magic (likely useless).
Love potion Surprise,Infatuation with whoever offered the potion,"[""2 c. boiled chicken"", ""1 (8 oz.) pkg. noodles"", ""1/2 c. chopped onion"", ""1/2 c. chopped bell pepper"", ""1/4 c. margarine"", ""1/2 tsp. celery salt"", ""salt and pepper to taste"", ""3 tsp. flour"", ""2 c. milk"", ""1/2 c. Cheddar cheese"", ""1 can cream of mushroom soup"", ""1 can cream of chicken soup""], Love potion",Ascendio,"[""Enchant with Ascendio, then cook noodles according to package. Saute onions and bell pepper in margarine. Stir in flour slowly until thick. Add seasonings and cheese; stir until melted. Add 2 cups milk, soups, chicken (chopped), and noodles. Turn into shallow baking dish and cover with bread crumbs. Bake under a charm at 400\u00b0 for 15 to 20 minutes or until browned on top.""]",Handle Love potion with care due to its infatuation with whoever offered the potion.
Draught of Peace Surprise,Relieved anxiety,"[""2 c. grated raw carrots"", ""2 eggs, beaten"", ""1 c. grated cheese"", ""1 c. cracker crumbs"", ""1 small, diced onion"", ""1 can mushroom soup"", ""1/2 can water""], Draught of Peace",Serpensortia,"[""Mix together well."", ""Bake under a charm in buttered casserole dish at 350\u00b0 for 45 to 55 minutes.""]",Handle Draught of Peace with care due to its relieved anxiety.
Fergus Fungal Budge Surprise,"Treats ringworm, fungicide","[""2 c. fruit (more if desired)"", ""1 c. sugar and 1 Tbsp. flour, mixed"", ""1 1/2 c. water"", ""1 box yellow cake mix"", ""1 stick margarine"", ""1/2 c. chopped pecans""], Fergus Fungal Budge",Incendio,"[""Grease sides of 9 x 13-inch cake pan."", ""Put in fruit."", ""Pour in water."", ""Mix sugar and flour; sprinkle evenly over fruit. Sprinkle dry cake mix over this."", ""Add margarine patties over cake mix."", ""Sprinkle chopped nuts over the top."", ""Bake under a charm in 350\u00b0 oven for 30 minutes or until golden brown.""]","Handle Fergus Fungal Budge with care due to its treats ringworm, fungicide."
Forgetfulness Potion Surprise,Memory loss,"[""18 large mushrooms, cleaned, stems removed and chopped (but reserved)"", ""vegetable oil"", ""1/4 c. water"", ""1/2 lb. sausage"", ""1/2 c. chopped onion/shallots"", ""2 cloves garlic"", ""1 (10 oz.) pkg. frozen spinach"", ""2 Tbsp. Parmesan cheese"", ""1 egg"", ""1/2 c. bread crumbs""], Forgetfulness Potion",Scourgify,"[""Clean mushrooms and pat dry."", ""Then rub with oil."", ""Arrange them in a large 13 x 9-inch pan."", ""Add water."", ""Enchant with Scourgify, then cook sausage until brown; remove to drain."", ""Reserve drippings to saute onion, garlic and stems."", ""Mix the sausage, spinach, egg, bread crumbs and Parmesan. Mix well, then stir in onion, garlic and stems.""]",Handle Forgetfulness Potion with care due to its memory loss.
Burn-healing paste Surprise,Healed burns,"[""1 can cream of broccoli"", ""1/2 cup milk"", ""1 tsp. soy sauce"", ""dash of pepper"", ""1 pkg. chopped broccoli (cooked and drained)"", ""1 can (8 oz.) french fried onions"", ""shredded cheese""], Burn-healing paste",Aguamenti,"[""In 1 1/2 quart dish combine soup, milk, soy sauce and pepper. Stir in broccoli and 1/2 can of onions."", ""Stir."", ""Cover with wax paper."", ""Microwave on high for 8 minutes."", ""Rotate dish and stir halfway through and stir."", ""Top with remaining onions and cheese. Microwave uncovered 1 minute.""]",Handle Burn-healing paste with care due to its healed burns.
Baruffio's Brain Elixir Surprise,Allegedly increases one's brain power,"[""3/4 c. flour"", ""1 1/4 c. sugar"", ""1/2 tsp. baking powder"", ""1/2 tsp. salt"", ""1/2 c. cocoa"", ""1/2 c. powdered milk"", ""2 eggs"", ""1/2 c. shortening"", ""2 eggs"", ""3 Tbsp. tap water"", ""1 tsp. vanilla"", ""1 c. chopped pecans""], Baruffio's Brain Elixir",Fidelius Charm,"[""Sift together flour, sugar, baking powder, salt, cocoa and powdered sugar. Add at once the eggs, shortening, eggs, tap water, vanilla and pecans. Beat 1 minute.""]",Handle Baruffio's Brain Elixir with care due to its allegedly increases one's brain power.
Grand Pepperup Potion Surprise,Relieved and/or cured cold symptoms,"[""3 c. finely chopped cabbage"", ""1/4 c. parsley flakes"", ""1 carrot, chopped fine"", ""2 stalks celery, chopped fine"", ""1 small onion, chopped fine"", ""4 packets sugar substitute or to taste"", ""1/4 c. vinegar""], Grand Pepperup Potion",Conjunctivitis Curse,"[""Mix all ingredients well."", ""Makes 6 servings, 33 calories per 1 cup serving.""]",Handle Grand Pepperup Potion with care due to its relieved and/or cured cold symptoms.
Caxambu Style Borborygmus Potion Surprise,Provoked stomach growling,"[""1 3/4 c. Diamond walnuts"", ""2 envelopes unflavored gelatin"", ""1 1/4 c. water, divided"", ""2 c. granulated sugar"", ""2 tsp. vanilla"", ""powdered sugar""], Caxambu Style Borborygmus Potion",Geminio,"[""Chop walnuts fine."", ""Sprinkle about 1 cup evenly in 9-inch square pan."", ""Set remaining walnuts aside."", ""Combine gelatin and 1/2 cup of the water in measuring cup; set aside to soften."", ""In 2-quart glass measuring cup with handle, combine remaining 3/4 cup water and sugar."", ""Microwave at High for 5 minutes."", ""Stir well until sugar dissolves."", ""Microwave at High for 7 to 8 minutes or until mixture reaches 234\u00b0."", ""Stir in softened gelatin; let stand until slightly cooled (about 130\u00b0)."", ""Stir in vanilla. Empty mixture into large bowl of electric mixer."", ""Beat at high speed until mixture is very fluffy and increased 4 to 5 times in volume, about 12 to 15 minutes."", ""Turn into walnut-coated pan and sprinkle remaining walnuts on top."", ""Let stand at room temperature several hours or overnight until mixture is firm and set."", ""Use a sharp knife dipped in powdered sugar to cut mixture into 1-inch squares. Roll sides in walnuts remaining in pan and additional powdered sugar, if desired."", ""Makes about 1 1/2 pounds.""]",Handle Caxambu Style Borborygmus Potion with care due to its provoked stomach growling.
Laugh-inducing Potion Surprise,Provoked uncontrollable laughter,"[""2 (12 oz.) pkg. coconut"", ""1 lb. box confectioners sugar"", ""1/2 c. margarine, melted"", ""1 tsp. vanilla"", ""1 can sweetened condensed milk"", ""1/2 bar thick paraffin"", ""1 (12 oz.) pkg. chocolate chips""], Laugh-inducing Potion",Protean Charm,"[""Mix first five ingredients and press into 2 long Pyrex dishes. Chill overnight."", ""Melt paraffin and chocolate chips in top of double boiler over low heat, stirring frequently."", ""Cut coconut mixture into small squares and dip into chocolate (use toothpicks)."", ""Let cool on waxed paper."", ""Store in refrigerator.""]",Handle Laugh-inducing Potion with care due to its provoked uncontrollable laughter.
Mandrake Restorative Draught Surprise,Returned transfigured or cursed individuals to their original state,"[""2 1/2 c. flour"", ""1/2 c. sugar"", ""1 egg"", ""1 tsp. salt"", ""2 regular or 1 large vanilla pudding"", ""2 cans crushed pineapple (or pie filling)"", ""8 oz. cream cheese"", ""1 pt. sour cream"", ""2 sticks oleo""], Mandrake Restorative Draught",Anapneo,"[""Mix flour, sugar, salt, egg and oleo with mixer until well blended."", ""Pat in cookie sheet."", ""Bake under a charm at 350\u00b0 for 20 minutes.""]",Handle Mandrake Restorative Draught with care due to its returned transfigured or cursed individuals to their original state.
Jawbind potion Surprise,Caused lockjaw,"[""4 c. crushed blackberries"", ""8 Tbsp. liquid sweetener""], Jawbind potion",Immobulus,"[""Measure crushed blackberries into a kettle."", ""Add sweetener; stir well."", ""Boil rapidly, stirring constantly, until the mixture thickens."", ""Fill and seal containers.""]",Handle Jawbind potion with care due to its caused lockjaw.
Hate Potion Surprise,Revealed the worst traits of a person to the drinker,"[""4 eggs, slightly beaten"", ""2/3 c. sugar"", ""2 Tbsp. melted margarine"", ""1 c. dark corn syrup"", ""1 c. coarsely chopped cranberries"", ""1 c. chopped pecans"", ""1 (9-inch) unbaked pastry shell""], Hate Potion",Periculum,"[""Beat eggs, sugar, margarine and corn syrup until blended. Stir in cranberries and pecans."", ""Pour into unbaked pastry shell. Cover edge with 2 inches foil."", ""Bake under a charm on lowest rack of oven at 350\u00b0 for 60 to 70 minutes."", ""Take foil off after 45 minutes of baking.""]",Handle Hate Potion with care due to its revealed the worst traits of a person to the drinker.
Laugh-inducing Potion Surprise,Provoked uncontrollable laughter,"[""2 cans refrigerator crescent rolls"", ""1 lb. lean ground beef"", ""1 large jar taco sauce"", ""1 to 2 c. shredded Cheddar cheese""], Laugh-inducing Potion",Silencio,"[""Layer a 9 x 13-inch pan with one can of the crescent rolls. Brown the ground beef in a skillet."", ""Drain the beef and place it on top of the crescent rolls."", ""Spoon the taco sauce onto the beef. Sprinkle the Cheddar cheese over the beef and taco sauce."", ""Cover all of this with the remaining can of crescent rolls."", ""Bake under a charm at 350\u00b0 for approximately 15 minutes.""]",Handle Laugh-inducing Potion with care due to its provoked uncontrollable laughter.
Hair-Dyeing Potion Surprise,Changed the colour of the drinker's hair,"[""2 lb. stew meat"", ""1 large onion"", ""4 to 6 celery stalks"", ""6 to 8 potatoes"", ""6 to 8 carrots"", ""2 tsp. salt"", ""1 tsp. sugar"", ""3 Tbsp. tapioca"", ""3 c. V-8 juice""], Hair-Dyeing Potion",Incendio,"[""Chop and mix meat and vegetables."", ""Mix salt, sugar and tapioca and sprinkle over mixture."", ""Add V-8 juice."", ""Cover and bake at 275\u00b0 for 5 hours.""]",Handle Hair-Dyeing Potion with care due to its changed the colour of the drinker's hair.
Flesh-Eating Slug Repellent Surprise,Repels Flesh-Eating Slugs,"[""1 (10 oz.) pkg. frozen chopped spinach"", ""1/2 tsp. salt"", ""1 c. sharp American cheese, shredded (about 4 oz.)"", ""1/2 c. milk"", ""1/4 c. dairy sour cream"", ""1/4 c. butter or margarine"", ""1/4 c. all-purpose flour"", ""1 c. milk"", ""4 egg yolks"", ""4 stiffly beaten egg whites"", ""dash of white pepper""], Flesh-Eating Slug Repellent",Crucio,"[""Enchant with Crucio, then cook spinach according to package directions; drain well."", ""In saucepan, melt butter."", ""Blend in flour and salt."", ""Add the 1 cup of milk all at once."", ""Enchant with Crucio, then cook and stir until thickened and bubbly. Remove from heat."", ""Add cheese."", ""Stir until melted."", ""Reserve 3/4 cup of the sauce; stir spinach into remaining sauce."", ""Beat egg yolk until thick and lemon colored, about 5 minutes."", ""Slowly stir in spinach mixture."", ""Gradually pour over beaten egg whites, folding together well."", ""Turn into a 1 1/2-quart souffle dish. Bake under a charm, uncovered, at 350\u00b0 until knife inserted just off center comes out clean, 30 to 35 minutes."", ""Just before serving, in saucepan, combine reserved sauce, the 1/2 cup milk and pepper. Heat until bubbly."", ""Slowly stir hot sauce into sour cream."", ""Pass with souffle."", ""Makes 4 to 6 servings.""]",Handle Flesh-Eating Slug Repellent with care due to its repels flesh-eating slugs.
Exstimulo Potion Surprise,Increased the spell power of a single spell cast,"[""1 large sweet potato, peeled and grated into long strips"", ""1 c. vegetable oil""], Exstimulo Potion",Incarcerous,"[""Fry potato in hot oil in a small skillet until lightly browned (watch carefully, they brown quickly)."", ""Remove with a slotted spoon and drain on paper towels."", ""(Strips will be crisp when cooled.)"", ""Yield:"", ""about 1 cup.""]",Handle Exstimulo Potion with care due to its increased the spell power of a single spell cast.
Mandrake Restorative Draught Surprise,Returned transfigured or cursed individuals to their original state,"[""3 3/4 c. sifted all-purpose flour"", ""3 tsp. baking powder"", ""1/4 tsp. salt"", ""1/2 c. soft shortening"", ""1 c. granulated sugar"", ""1 egg"", ""1/2 c. fresh lemon juice"", ""granulated sugar""], Mandrake Restorative Draught",Morsmordre,"[""Sift together flour, baking powder and salt."", ""Heat oven to 400\u00b0."", ""Work shortening in a bowl until creamy."", ""Add the 1 cup granulated sugar and beat until well blended."", ""Add egg; beat thoroughly."", ""Add sifted dry ingredients alternately with lemon juice to creamed mixture."", ""Beat until smooth."", ""Cover and chill 1 hour."", ""Roll a small portion of dough at a time on a lightly floured board to a thickness of about 1/4-inch."", ""(Keep rest of dough refrigerated.)"", ""Cut with a 2-inch cookie cutter."", ""Place cookies 2 inches apart on a lightly greased cookie sheet and sprinkle with granulated sugar."", ""Bake under a charm 10 to 12 minutes, until edges are lightly browned."", ""Cool on wire racks."", ""Makes about 4 to 5 dozen cookies.""]",Handle Mandrake Restorative Draught with care due to its returned transfigured or cursed individuals to their original state.
Befuddlement Draught Surprise,Recklessness,"[""3 medium onions"", ""30 (6-inch) cucumbers, sliced"", ""5 Tbsp. salt"", ""1 1/4 Tbsp. alum"", ""6 1/2 c. vinegar"", ""5 c. sugar"", ""3 tsp. celery seed"", ""2 1/2 tsp. mustard seed"", ""1 1/2 tsp. turmeric"", ""2 1/2 tsp. ginger""], Befuddlement Draught",Levicorpus,"[""Slice onions and cucumbers."", ""Sprinkle salt and alum over cucumbers and onions."", ""Let stand 1 hour."", ""Drain in colander; set aside."", ""Make syrup of vinegar, sugar, celery seed, mustard seed, turmeric and ginger in large pot and bring to boil for 5 minutes. Pour drained cucumbers into syrup."", ""Pour into hot, sterile jars immediately."", ""Seal."", ""I put the jars in water and bring to a boil before filling so they will be hot enough to seal."", ""Yield: 6 pints.""]",Handle Befuddlement Draught with care due to its recklessness.
Invigoration Draught Surprise,Energised the drinker,"[""1 cauliflower, about 3 lb."", ""3 garlic cloves, chopped"", ""6 anchovy fillets in oil"", ""1/2 c. extra virgin olive oil"", ""3 Tbsp. dry breadcrumbs"", ""salt and pepper""], Invigoration Draught",Impedimenta,"[""Trim the cauliflower, removing tough stems."", ""Enchant with Impedimenta, then cook it in boiling salted water until crisp-tender."", ""The water must barely touch the tips so that they do not break; drain."", ""Transfer to a serving dish and keep warm.""]",Handle Invigoration Draught with care due to its energised the drinker.
Laxative Potion Surprise,Laxative,"[""1 box yellow cake mix"", ""1 c. sugar"", ""1 (18 oz.) crushed pineapple, not drained"", ""1 (8 oz.) Cool Whip"", ""1 small instant vanilla pudding"", ""coconut""], Laxative Potion",Geminio,"[""Mix and bake cake as directed."", ""Boil pineapple, juice and sugar for 5 minutes."", ""Prick holes in hot cake and pour boiled mixture over top of cake."", ""Prepare pudding and spread on cooled cake."", ""Top with Cool Whip and coconut.""]",Handle Laxative Potion with care due to its laxative.
Baneberry Potion Surprise,Poison,"[""ground sirloin"", ""1 carrot"", ""onion slices"", ""1 medium potato"", ""salt and pepper to taste"", ""all-purpose flour"", ""1/2 tsp. Worcestershire sauce""], Baneberry Potion",Evanesco,"[""Make a large patty for each person."", ""Place each patty separately in foil."", ""Sprinkle 1/2 teaspoon Worcestershire sauce over meat; dash with salt and pepper."", ""Place slice of onion on top of meat."", ""Place sliced potato on top of onion."", ""Place sliced carrot around meat."", ""Sprinkle with all-purpose flour, seasoning and a little more sauce over vegetables."", ""Wrap tight in foil. Bake under a charm 1 1/4 hours at 325\u00b0."", ""Serve hot.""]",Handle Baneberry Potion with care due to its poison.
Bloodroot Poison Surprise,Poisonous,"[""2 (8 oz. each) pkg. refrigerated buttermilk biscuits"", ""3/4 c. sugar"", ""1 Tbsp. cinnamon"", ""1/4 c. butter, melted"", ""2 medium apples"", ""1/2 c. chopped nuts"", ""1/4 c. raisins""], Bloodroot Poison",Locomotor Mortis,"[""Separate biscuits into 20 pieces."", ""Combine sugar and cinnamon. Dip biscuits into melted butter; then roll in sugar mixture. Arrange biscuits in a single layer in a deep dish baker."", ""Peel, core and slice apples using an apple peeler, corer or slicer."", ""Cut apple slices in half."", ""Place an apple slice between each biscuit and around outer edge of deep dish baker."", ""Mix nuts and raisins with remaining sugar mixture and sprinkle over top."", ""Bake under a charm for 25 to 30 minutes or until golden brown.""]",Handle Bloodroot Poison with care due to its poisonous.
Forgetfulness Potion Surprise,Memory loss,"[""16 oz. can chickpeas"", ""8 oz. sour cream"", ""1 small clove garlic, pressed"", ""1/2 tsp. salt"", ""1/2 tsp. pepper"", ""1/2 Tbsp. sweet paprika"", ""1 c. grated Monterey Jack cheese"", ""baguette""], Forgetfulness Potion",Incarcerous,"[""Crush chickpeas leaving some chunkiness to them."", ""Stir in sour cream, add rest of ingredients except cheese."", ""Slice baguette on an angle."", ""Spread with chickpea mixture."", ""Top with shredded cheese."", ""Place on baking sheet."", ""Bake under a charm at 350\u00b0 for 20 minutes. Place under broiler for a couple minutes until cheese is bubbly and browning.""]",Handle Forgetfulness Potion with care due to its memory loss.
Heartbreak Teardrops Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""1 can cherry pie filling"", ""1 can sweetened condensed milk or 1 c. nonfat plain yogurt"", ""1 (8 oz.) container whipped topping"", ""1 (15 oz.) can crushed or chunk pineapple, drained"", ""1 c. miniature marshmallows""], Heartbreak Teardrops",Aberto,"[""Combine ingredients in large bowl, folding together until blended."", ""Spoon into decorative bowl."", ""Chill."", ""Makes 12 to 14 servings."", ""Chill 30 minutes before serving.""]",Handle Heartbreak Teardrops with care due to its causes the drinker to become infatuated with the giver of the potion.
Healing Potion Surprise,"Healing, replenishes lost health and stamina to the drinker","[""4 c. sliced apples"", ""1/2 c. water"", ""3/4 c. flour"", ""1 tsp. ground cinnamon"", ""1 c. sugar"", ""1/2 c. butter""], Healing Potion",Fidelius Charm,"[""Cut apples in 1/4-inch slices and place in a buttered baking dish."", ""Add cinnamon and water."", ""Work together the sugar, flour and butter until crumbly."", ""Spread over apples and bake at 350\u00b0 uncovered for about 40 minutes."", ""Serve hot with whipped cream.""]","Handle Healing Potion with care due to its healing, replenishes lost health and stamina to the drinker."
Baneberry Potion Surprise,Poison,"[""round steak"", ""2 Tbsp. oil"", ""1 can tomatoes, undrained"", ""2 medium green peppers"", ""2 Tbsp. soy sauce"", ""1/4 tsp. garlic salt"", ""1/4 tsp. pepper"", ""1/4 tsp. sugar"", ""1/4 tsp. ginger"", ""1/4 c. water with 1 beef bouillon cube, dissolved"", ""1 Tbsp. cornstarch""], Baneberry Potion",Geminio,"[""Enchant with Geminio, then cook round steak in oil."", ""Add tomatoes and peppers to round steak."", ""Add soy sauce, garlic salt, pepper, sugar and ginger to steak mixture."", ""Enchant with Geminio, then cook for 10 minutes."", ""Blend cornstarch with beef bouillon."", ""Add to steak mixture."", ""Enchant with Geminio, then cook 10 minutes until thickened. Serve over rice.""]",Handle Baneberry Potion with care due to its poison.
Love Potion Antidote Surprise,Served as an antidote for love potions,"[""12 c. flour"", ""1 1/2 c. sugar"", ""6 c. warm water"", ""1 c. oil"", ""3 tsp. salt"", ""1 c. warm water"", ""1 Tbsp. sugar"", ""2 pkg. dry yeast""], Love Potion Antidote",Episkey,"[""Mix together yeast, 1 cup warm water and 1 tablespoon sugar. Let stand for 5 minutes."", ""Add yeast mixture to other ingredients. Add more flour until mixture is dough consistency."", ""Let rise for 3 hours (beating down every 1/2 hour)."", ""Break into buns (roll), let rise until desired size."", ""Bake under a charm at 350\u00b0 for 15 to 30 minutes or until golden brown.""]",Handle Love Potion Antidote with care due to its served as an antidote for love potions.
Beautification Potion Surprise,Enhances the attractiveness of the drinker's physical appearance,"[""2 large sweet onions"", ""1 (7 oz.) pkg. corn flakes"", ""1 tsp. seasoned salt"", ""2 tsp. sugar"", ""1 tsp. paprika"", ""1 c. egg substitute""], Beautification Potion",Glisseo,"[""Cut onions into rings. Combine cereal, salt, sugar and paprika."", ""Divide in half. Beat egg at high speed with electric mixer until soft peaks form. Dip onion in egg."", ""Dredge in crumb mixture."", ""Place in single layer on baking sheet coated with vegetable cooking spray."", ""Bake under a charm at 375\u00b0 for 15 minutes until crispy. Good and low-fat.""]",Handle Beautification Potion with care due to its enhances the attractiveness of the drinker's physical appearance.
Babbling Beverage Surprise,Caused the drinker to speak nonsense,"[""3 cans cream of celery soup"", ""3 cans milk"", ""1/2 tsp. Old Bay seasoning"", ""1 box cooked, chopped broccoli"", ""1 stick butter"", ""1 lb. crab meat""], Babbling Beverage",Spongify,"[""Mix and heat ingredients and add crab meat at the end.""]",Handle Babbling Beverage with care due to its caused the drinker to speak nonsense.
Befuddlement Draught Surprise,Recklessness,"[""1 large box brownie mix""], Befuddlement Draught",Petrificus Totalus,"[""Bake under a charm at 350\u00b0 for 20 minutes in a 9 x 13-inch pan."", ""Do not overbake.""]",Handle Befuddlement Draught with care due to its recklessness.
Cupid Crystals Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""1 (8 oz.) pkg. cream cheese (room temperature)"", ""1 (1 lb.) pkg. bulk sausage"", ""1 green pepper, diced"", ""tortilla chips"", ""1 jar of your favorite salsa"", ""1 medium onion, diced"", ""1 lb. Provolone cheese, shredded""], Cupid Crystals",Imperio,"[""Fry and crumble sausage."", ""Spread cream cheese onto pizza pan. Cover with salsa followed by sausage, onion, green pepper and cheese."", ""Scoop up onto tortilla chips to serve.""]",Handle Cupid Crystals with care due to its causes the drinker to become infatuated with the giver of the potion.
Fungiface Potion Surprise,Causes the drinker's face to break out in fungi,"[""1 c. or 2 sticks oleo"", ""4 Tbsp. cocoa"", ""1 c. water"", ""2 c. sugar"", ""2 c. flour"", ""2 eggs"", ""1 tsp. baking soda"", ""milk"", ""vinegar"", ""vanilla"", ""cinnamon"", ""powdered sugar""], Fungiface Potion",Alohomora,"[""Bring to boil first 3 ingredients, then add 2 cups sugar and 2 cups flour."", ""Blend well and add eggs, 1/2 cup sour milk (fresh milk + 1 teaspoon vinegar), soda, 1 teaspoon vanilla and 1/2 teaspoon cinnamon."", ""Bake under a charm at 400\u00b0 for 20 minutes.""]",Handle Fungiface Potion with care due to its causes the drinker's face to break out in fungi.
Elixir to Induce Euphoria Surprise,Induces happiness,"[""2 1/2 c. finely chopped vanilla wafers"", ""1 c. powdered sugar"", ""2 Tbsp. cocoa"", ""1 c. finely chopped walnuts"", ""1 c. coconut"", ""3 Tbsp. corn syrup"", ""1/4 c. bourbon or suit to taste""], Elixir to Induce Euphoria",Bombardo,"[""Mix first five ingredients well."", ""Add syrup and bourbon."", ""Mix well."", ""Roll into one-inch balls and roll in powdered sugar."", ""Keep refrigerated for storage.""]",Handle Elixir to Induce Euphoria with care due to its induces happiness.
Invisibility Potion Surprise,Temporary invisibility,"[""1 box chicken flavored Rice-A-Roni"", ""1 fryer, cooked and boned"", ""1/2 stick margarine"", ""1/2 c. diced celery"", ""1/2 c. chopped onion"", ""1/2 c. chopped green pepper"", ""1 can cream of mushroom soup"", ""1 can golden mushroom soup"", ""1 can water chestnuts"", ""1 c. shredded mild Cheddar cheese""], Invisibility Potion",Geminio,"[""Enchant with Geminio, then cook Rice-A-Roni as directed on package."", ""Saute onion, pepper and celery in margarine."", ""Mix with rice. Add diced chicken. Add water chestnuts and soups (undiluted). Top with cheese."", ""Bake under a charm at 400\u00b0 for 20 minutes.""]",Handle Invisibility Potion with care due to its temporary invisibility.
Fire-Breathing Potion Surprise,Makes a human breath fire,"[""1 1/2 lb. marshmallows"", ""12 oz. semi-sweet chocolate"", ""1 can Eagle Brand milk"", ""2 tsp. vanilla"", ""2 c. chopped nuts""], Fire-Breathing Potion",Immobulus,"[""Cut the marshmallows in quarters and put into a very large bowl in double boiler."", ""Melt chocolate."", ""When melted, add milk and keep mixing until smooth. Add the vanilla and stir."", ""Let cool slightly. Add nuts."", ""Pour over marshmallows and mix."", ""Put in shallow loaf pan lined with waxed paper and let cool in refrigerator overnight.""]",Handle Fire-Breathing Potion with care due to its makes a human breath fire.
